 [ 0.105632  0.054558  0.312303]
 [ 0.105584  0.049862  0.313393]
 [ 0.105229  0.043105  0.314092]
 [ 0.104299  0.033956  0.314565]
 [ 0.102744  0.024439  0.314873]
 [ 0.100617  0.012998  0.315056]
 [ 0.09902   0.003032  0.31508 ]
 [ 0.097091 -0.007124  0.314909]
 [ 0.096135 -0.016955  0.313911]
 [ 0.094947 -0.026471  0.31173 ]
 [ 0.093533 -0.038185  0.309193]
 [ 0.092091 -0.047575  0.306979]
 [ 0.09077  -0.057013  0.304669]
 [ 0.089825 -0.062683  0.302276]
 [ 0.088853 -0.06925   0.300087]
 [ 0.088006 -0.076902  0.298302]
 [ 0.08775  -0.082718  0.296469]
 [ 0.087728 -0.086359  0.294161]
 [ 0.087689 -0.088493  0.292153]
 [ 0.08778  -0.090101  0.290596]
 [ 0.087961 -0.090952  0.289353]
 [ 0.088271 -0.090487  0.288331]]
[[ 1.25652e-01  5.40370e-02  3.66598e-01]
 [ 1.25561e-01  5.28200e-02  3.66631e-01]
 [ 1.25260e-01  5.19350e-02  3.66638e-01]
 [ 1.24114e-01  5.00640e-02  3.66635e-01]
 [ 1.22773e-01  4.95270e-02  3.66611e-01]
 [ 1.21292e-01  4.95230e-02  3.66568e-01]
 [ 1.18438e-01  4.92010e-02  3.66511e-01]
 [ 1.14924e-01  4.81660e-02  3.66399e-01]
 [ 1.11903e-01  4.79830e-02  3.66245e-01]
 [ 1.09366e-01  4.83580e-02  3.66107e-01]
 [ 1.06261e-01  4.90050e-02  3.65970e-01]
 [ 1.03492e-01  4.90400e-02  3.65725e-01]
 [ 1.01123e-01  4.94250e-02  3.65456e-01]
 [ 9.84460e-02  4.94490e-02  3.65002e-01]
 [ 9.57230e-02  4.96940e-02  3.64471e-01]
 [ 9.30410e-02  4.99410e-02  3.63788e-01]
 [ 9.03610e-02  5.09310e-02  3.62888e-01]
 [ 8.75250e-02  5.12700e-02  3.61802e-01]
 [ 8.45810e-02  5.16010e-02  3.60574e-01]
 [ 8.14600e-02  5.09520e-02  3.59026e-01]
 [ 7.85630e-02  4.89170e-02  3.57260e-01]
 [ 7.60050e-02  4.69650e-02  3.55555e-01]
 [ 7.37070e-02  4.26800e-02  3.53680e-01]
 [ 7.19950e-02  3.94230e-02  3.51734e-01]
 [ 7.08810e-02  3.57620e-02  3.49641e-01]
 [ 6.99220e-02  3.16360e-02  3.47461e-01]
 [ 6.91740e-02  2.69950e-02  3.45189e-01]
 [ 6.87390e-02  2.33890e-02  3.42995e-01]
 [ 6.80520e-02  1.83140e-02  3.40883e-01]
 [ 6.73660e-02  1.26270e-02  3.38726e-01]
